Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
4/24/2021,51143.22656,51167.5625,48805.28516,50050.86719,49014494781,0,0
4/25/2021,50052.83203,50506.01953,47159.48438,49004.25391,46117114240,0,0
4/26/2021,49077.79297,54288.00391,48852.79688,54021.75391,58284039825,0,0
4/27/2021,54030.30469,55416.96484,53319.1875,55033.11719,49448222757,0,0
4/28/2021,55036.63672,56227.20703,53887.91797,54824.70313,48000572955,0,0
4/29/2021,54858.08984,55115.84375,52418.02734,53555.10938,46088929780,0,0
4/30/2021,53568.66406,57900.71875,53129.60156,57750.17578,52395931985,0,0
5/1/2021,57714.66406,58448.33984,57052.27344,57828.05078,42836427360,0,0
5/2/2021,57825.86328,57902.59375,56141.90625,56631.07813,38177405335,0,0
5/3/2021,56620.27344,58973.30859,56590.87109,57200.29297,51713139031,0,0
5/4/2021,57214.17969,57214.17969,53191.42578,53333.53906,68564706967,0,0
5/5/2021,53252.16406,57911.36328,52969.05469,57424.00781,69241316747,0,0
5/6/2021,57441.30859,58363.31641,55382.50781,56396.51563,69523285106,0,0
5/7/2021,56413.95313,58606.63281,55321.84766,57356.40234,68434023376,0,0
5/8/2021,57352.76563,59464.61328,56975.21094,58803.77734,65382980634,0,0
5/9/2021,58877.39063,59210.88281,56482.00391,58232.31641,65906690347,0,0
5/10/2021,58250.87109,59519.35547,54071.45703,55859.79688,71776546298,0,0
5/11/2021,55847.24219,56872.54297,54608.65234,56704.57422,61308396325,0,0
5/12/2021,56714.53125,57939.36328,49150.53516,49150.53516,75215403907,0,0
5/13/2021,49735.43359,51330.84375,46980.01953,49716.19141,96721152926,0,0
5/14/2021,49682.98047,51438.11719,48868.57813,49880.53516,55737497453,0,0
5/15/2021,49855.49609,50639.66406,46664.14063,46760.1875,59161047474,0,0
5/16/2021,46716.63672,49720.04297,43963.35156,46456.05859,64047871555,0,0
5/17/2021,46415.89844,46623.55859,42207.28906,43537.51172,74903638450,0,0
5/18/2021,43488.05859,45812.45703,42367.83203,42909.40234,56187365084,0,0
5/19/2021,42944.97656,43546.11719,30681.49609,37002.44141,1.26358E+11,0,0
5/20/2021,36753.66797,42462.98438,35050.61719,40782.73828,88281943359,0,0
5/21/2021,40596.94922,42172.17188,33616.45313,37304.69141,82051616861,0,0
5/22/2021,37371.03125,38831.05469,35383.68359,37536.63281,57377273240,0,0
5/23/2021,37531.44922,38289.21875,31227.33984,34770.58203,78469274361,0,0
5/24/2021,34700.36328,39835.14063,34551.08203,38705.98047,67359584098,0,0
5/25/2021,38795.78125,39776.35156,36581.42969,38402.22266,56211915803,0,0
5/26/2021,38392.625,40782.07813,37905.83594,39294.19922,51346735160,0,0
5/27/2021,39316.89063,40379.61719,37247.90234,38436.96875,43210968721,0,0
5/28/2021,38507.08203,38856.96875,34779.03906,35697.60547,55200191952,0,0
5/29/2021,35684.15625,37234.5,33693.92969,34616.06641,45231013335,0,0
5/30/2021,34607.40625,36400.66797,33520.73828,35678.12891,31646080921,0,0
5/31/2021,35658.59375,37468.25,34241.94531,37332.85547,39009847639,0,0
6/1/2021,37293.79297,37896.73438,35787.08594,36684.92578,34639423297,0,0
6/2/2021,36699.92188,38231.33984,35966.30859,37575.17969,33070867190,0,0
6/3/2021,37599.41016,39478.95313,37243.97266,39208.76563,35460750427,0,0
6/4/2021,39242.48438,39242.48438,35717.72266,36894.40625,41831090187,0,0
6/5/2021,36880.15625,37917.71484,34900.41406,35551.95703,35959473399,0,0
6/6/2021,35538.60938,36436.42188,35304.57813,35862.37891,28913440585,0,0
6/7/2021,35835.26563,36790.57031,33480.64063,33560.70703,33683936663,0,0
6/8/2021,33589.51953,34017.38672,31114.44336,33472.63281,49902050442,0,0
6/9/2021,33416.97656,37537.37109,32475.86523,37345.12109,53972919008,0,0
6/10/2021,37389.51563,38334.32422,35847.59375,36702.59766,43576032854,0,0
6/11/2021,36697.03125,37608.69531,36044.44922,37334.39844,38699736985,0,0
6/12/2021,37340.14453,37408.92578,34728.19141,35552.51563,37924228550,0,0
6/13/2021,35555.78906,39322.78125,34864.10938,39097.85938,40669112838,0,0
6/14/2021,39016.96875,40978.36328,38757.28516,40218.47656,43148914673,0,0
6/15/2021,40427.16797,41295.26953,39609.46875,40406.26953,46420149185,0,0
6/16/2021,40168.69141,40516.77734,38176.03516,38347.0625,39211635100,0,0
6/17/2021,38341.42188,39513.67188,37439.67578,38053.50391,37096670047,0,0
6/18/2021,38099.47656,38187.26172,35255.85547,35787.24609,36200887275,0,0
6/19/2021,35854.52734,36457.79688,34933.0625,35615.87109,31207279719,0,0
6/20/2021,35563.14063,36059.48438,33432.07422,35698.29688,36664034054,0,0
6/21/2021,35641.14453,35721.64063,31295.93555,31676.69336,52809038594,0,0
6/22/2021,31622.37695,33292.45313,28893.62109,32505.66016,58964353058,0,0
6/23/2021,32515.71484,34753.41016,31772.63281,33723.02734,46317108925,0,0
6/24/2021,33682.80078,35228.85156,32385.21484,34662.4375,33123368116,0,0
6/25/2021,34659.10547,35487.24609,31350.88477,31637.7793,40230904226,0,0
6/26/2021,31594.66406,32637.58789,30184.50195,32186.27734,38585385521,0,0
6/27/2021,32287.52344,34656.12891,32071.75781,34649.64453,35511640894,0,0
6/28/2021,34679.12109,35219.89063,33902.07422,34434.33594,33892523752,0,0
6/29/2021,34475.55859,36542.10938,34252.48438,35867.77734,37901460044,0,0
6/30/2021,35908.38672,36074.75781,34086.15234,35040.83594,34059036099,0,0
7/1/2021,35035.98438,35035.98438,32883.78125,33572.11719,37838957079,0,0
7/2/2021,33549.60156,33939.58984,32770.67969,33897.04688,38728974942,0,0
7/3/2021,33854.42188,34909.26172,33402.69531,34668.54688,24383958643,0,0
7/4/2021,34665.56641,35937.56641,34396.47656,35287.78125,24924307911,0,0
7/5/2021,35284.34375,35284.34375,33213.66016,33746.00391,26721554282,0,0
7/6/2021,33723.50781,35038.53516,33599.91797,34235.19531,26501259870,0,0
7/7/2021,34225.67969,34997.66406,33839.28906,33855.32813,24796027477,0,0
7/8/2021,33889.60547,33907.90625,32133.18359,32877.37109,29910396946,0,0
7/9/2021,32861.67188,34042.29297,32318.88086,33798.01172,27436021028,0,0
7/10/2021,33811.24219,34209.07031,33116.01172,33520.51953,22971873468,0,0
7/11/2021,33509.07813,34584.70313,33346.73828,34240.1875,20108729370,0,0
7/12/2021,34254.01563,34592.15625,32697.30859,33155.84766,24321499537,0,0
7/13/2021,33125.46875,33327.10156,32261.41992,32702.02539,19120856669,0,0
7/14/2021,32723.8457,33061.39844,31639.125,32822.34766,21376531210,0,0
7/15/2021,32827.875,33159.64063,31175.70898,31780.73047,21300524237,0,0
7/16/2021,31841.55078,32218.40625,31100.67383,31421.53906,23699476918,0,0
7/17/2021,31397.30859,31935.94531,31223.99023,31533.06836,18895018942,0,0
7/18/2021,31533.88477,32398.99609,31215.49219,31796.81055,18787986667,0,0
7/19/2021,31800.01172,31885.85938,30563.73438,30817.83203,20434789545,0,0
7/20/2021,30838.28516,31006.1875,29360.95508,29807.34766,23148267245,0,0
7/21/2021,29796.28516,32752.32617,29526.18359,32110.69336,28203024559,0,0
7/22/2021,32138.87305,32576.40039,31745.29883,32313.10547,19555230518,0,0
7/23/2021,32305.95898,33581.55078,32057.89258,33581.55078,22552046192,0,0
7/24/2021,33593.73047,34490.39063,33424.85938,34292.44531,21664706865,0,0
7/25/2021,34290.29297,35364.92578,33881.83594,35350.1875,20856685287,0,0
7/26/2021,35384.03125,40499.67578,35287.3125,37337.53516,51022126212,0,0
7/27/2021,37276.03516,39406.94141,36441.72656,39406.94141,35097370560,0,0
7/28/2021,39503.1875,40816.07031,38862.4375,39995.90625,38702404695,0,0
7/29/2021,39995.45313,40593.07031,39352.05859,40008.42188,27167146027,0,0
7/30/2021,40027.48438,42235.54688,38397.35547,42235.54688,33072782960,0,0
7/31/2021,42196.30469,42231.44922,41110.83203,41626.19531,25802845343,0,0
8/1/2021,41460.84375,42541.67969,39540.94141,39974.89453,26688438115,0,0
8/2/2021,39907.26172,40419.17969,38746.34766,39201.94531,25595265436,0,0
8/3/2021,39178.40234,39750.03125,37782.05078,38152.98047,26189830450,0,0
8/4/2021,38213.33203,39952.29688,37589.16406,39747.50391,25372562724,0,0
8/5/2021,39744.51563,41341.93359,37458.00391,40869.55469,35185031017,0,0
8/6/2021,40865.86719,43271.66016,39932.17969,42816.5,38226483046,0,0
8/7/2021,42832.79688,44689.85938,42618.56641,44555.80078,40030862141,0,0
8/8/2021,44574.4375,45282.35156,43331.91016,43798.11719,36302664750,0,0
8/9/2021,43791.92578,46456.83203,42848.6875,46365.40234,38734079049,0,0
8/10/2021,46280.84766,46637.98828,44705.55469,45585.03125,33546019517,0,0
8/11/2021,45599.70313,46735.63281,45351.71094,45593.63672,34319709073,0,0
8/12/2021,45576.87891,46228.91016,43861.44531,44428.28906,33723620826,0,0
8/13/2021,44439.69141,47831.97656,44282.41797,47793.32031,31744259539,0,0
8/14/2021,47810.6875,48098.68359,46177.63281,47096.94531,31211354442,0,0
8/15/2021,47096.66797,47357.10547,45579.58984,47047.00391,30988958446,0,0
8/16/2021,47019.96094,47998.09766,45700.32031,46004.48438,32776876610,0,0
8/17/2021,45936.45703,47139.57031,44512.41797,44695.35938,33451362600,0,0
8/18/2021,44686.75,45952.0625,44364.02734,44801.1875,32194123075,0,0
8/19/2021,44741.88281,46970.76172,43998.31641,46717.57813,37204312299,0,0
8/20/2021,46723.12109,49342.15234,46650.70703,49339.17578,34706867452,0,0
8/21/2021,49327.07422,49717.01953,48312.19922,48905.49219,40585205312,0,0
8/22/2021,48869.10547,49471.60938,48199.94141,49321.65234,25370975378,0,0
8/23/2021,49291.67578,50482.07813,49074.60547,49546.14844,34305053719,0,0
8/24/2021,49562.34766,49878.76953,47687.11719,47706.11719,35361168834,0,0
8/25/2021,47727.25781,49202.87891,47163.61328,48960.78906,32646349931,0,0
8/26/2021,49002.64063,49347.58203,46405.78125,46942.21875,32666549568,0,0
8/27/2021,46894.55469,49112.78516,46394.28125,49058.66797,34511076995,0,0
8/28/2021,49072.58594,49283.50391,48499.23828,48902.40234,28568103401,0,0
8/29/2021,48911.25,49644.11328,47925.85547,48829.83203,25889650240,0,0
8/30/2021,48834.85156,48925.60547,46950.27344,47054.98438,31847007016,0,0
8/31/2021,47024.33984,48189.55078,46750.09375,47166.6875,34730363427,0,0
9/1/2021,47099.77344,49111.08984,46562.4375,48847.02734,39139399125,0,0
9/2/2021,48807.84766,50343.42188,48652.32031,49327.72266,39508070319,0,0
9/3/2021,49288.25,50982.27344,48386.08594,50025.375,43206179619,0,0
9/4/2021,50009.32422,50545.58203,49548.78125,49944.625,37471327794,0,0
9/5/2021,49937.85938,51868.67969,49538.59766,51753.41016,30322676319,0,0
9/6/2021,51769.00391,52700.94141,51053.67969,52633.53516,38884105426,0,0
9/7/2021,52660.48047,52853.76563,43285.20703,46811.12891,65210059683,0,0
9/8/2021,46827.76172,47334.05469,44561.39453,46091.39063,49007762488,0,0
9/9/2021,45774.74219,47261.94922,45669.73828,46391.42188,38672657013,0,0
9/10/2021,46396.66406,47031.74219,44344.48438,44883.91016,39154666597,0,0
9/11/2021,44869.83984,45969.29297,44818.26563,45201.45703,34499835245,0,0
9/12/2021,45206.62891,46364.87891,44790.46094,46063.26953,27881980161,0,0
9/13/2021,46057.21484,46598.67969,43591.32031,44963.07422,40969943253,0,0
9/14/2021,44960.05078,47218.125,44752.33203,47092.49219,38652152880,0,0
9/15/2021,47098,48450.46875,46773.32813,48176.34766,30484496466,0,0
9/16/2021,48158.90625,48486.82813,47079.55859,47783.35938,31764293754,0,0
9/17/2021,47771.00391,48160.92188,46832.52344,47267.51953,28727713711,0,0
9/18/2021,47273.52734,48791.78125,47087.28516,48278.36328,28575630451,0,0
9/19/2021,48268.85547,48328.36719,46919.80469,47260.21875,26967722648,0,0
9/20/2021,47261.40625,47328.19922,42598.91406,42843.80078,43909845642,0,0
9/21/2021,43012.23438,43607.60938,39787.60938,40693.67578,48701090088,0,0
9/22/2021,40677.95313,43978.62109,40625.63281,43574.50781,38139709246,0,0
9/23/2021,43560.29688,44942.17578,43109.33984,44895.09766,34244064430,0,0
9/24/2021,44894.30078,45080.49219,40936.55859,42839.75,42839345714,0,0
9/25/2021,42840.89063,42996.25781,41759.92188,42716.59375,31604717236,0,0
9/26/2021,42721.62891,43919.30078,40848.46094,43208.53906,30661222077,0,0
9/27/2021,43234.18359,44313.24609,42190.63281,42235.73047,30980029059,0,0
9/28/2021,42200.89844,42775.14453,40931.66406,41034.54297,30214940550,0,0
9/29/2021,41064.98438,42545.25781,40829.66797,41564.36328,30602359905,0,0
9/30/2021,41551.26953,44092.60156,41444.58203,43790.89453,31141681925,0,0
10/1/2021,43816.74219,48436.01172,43320.02344,48116.94141,42850641582,0,0
10/2/2021,48137.46875,48282.0625,47465.49609,47711.48828,30614346492,0,0
10/3/2021,47680.02734,49130.69141,47157.28906,48199.95313,26638115879,0,0
10/4/2021,48208.90625,49456.77734,47045.00391,49112.90234,33383173002,0,0
10/5/2021,49174.96094,51839.98438,49072.83984,51514.8125,35873904236,0,0
10/6/2021,51486.66406,55568.46484,50488.19141,55361.44922,49034730168,0,0
10/7/2021,55338.625,55338.625,53525.46875,53805.98438,36807860413,0,0
10/8/2021,53802.14453,55922.98047,53688.05469,53967.84766,34800873924,0,0
10/9/2021,53929.78125,55397.94531,53735.14453,54968.22266,32491211414,0,0
10/10/2021,54952.82031,56401.30469,54264.25781,54771.57813,39527792364,0,0
10/11/2021,54734.125,57793.03906,54519.76563,57484.78906,42637331698,0,0
10/12/2021,57526.83203,57627.87891,54477.97266,56041.05859,41083758949,0,0
10/13/2021,56038.25781,57688.66016,54370.97266,57401.09766,41684252783,0,0
10/14/2021,57372.83203,58478.73438,56957.07422,57321.52344,36615791366,0,0
10/15/2021,57345.90234,62757.12891,56868.14453,61593.94922,51780081801,0,0
10/16/2021,61609.52734,62274.47656,60206.12109,60892.17969,34250964237,0,0
10/17/2021,60887.65234,61645.52344,59164.46875,61553.61719,29032367511,0,0
10/18/2021,61548.80469,62614.66016,60012.75781,62026.07813,38055562075,0,0
10/19/2021,62043.16406,64434.53516,61622.93359,64261.99219,40471196346,0,0
10/20/2021,64284.58594,66930.39063,63610.67578,65992.83594,40788955582,0,0
10/21/2021,66002.23438,66600.54688,62117.41016,62210.17188,45908121370,0,0
10/22/2021,62237.89063,63715.02344,60122.79688,60692.26563,38434082775,0,0
10/23/2021,60694.62891,61743.87891,59826.52344,61393.61719,26882546034,0,0
10/24/2021,61368.34375,61505.80469,59643.34375,60930.83594,27316183882,0,0
10/25/2021,60893.92578,63729.32422,60691.80078,63039.82422,31064911614,0,0
10/26/2021,63032.76172,63229.02734,59991.16016,60363.79297,34878965587,0,0
10/27/2021,60352,61435.18359,58208.1875,58482.38672,43657076893,0,0
10/28/2021,58470.73047,62128.63281,58206.91797,60622.13672,45257083247,0,0
10/29/2021,60624.87109,62927.60938,60329.96484,62227.96484,36856881767,0,0
10/30/2021,62239.36328,62330.14453,60918.38672,61888.83203,32157938616,0,0
10/31/2021,61850.48828,62406.17188,60074.32813,61318.95703,32241199927,0,0
11/1/2021,61320.44922,62419.00391,59695.18359,61004.40625,36150572843,0,0
11/2/2021,60963.25391,64242.79297,60673.05469,63226.40234,37746665647,0,0
11/3/2021,63254.33594,63516.9375,61184.23828,62970.04688,36124731509,0,0
11/4/2021,62941.80469,63123.28906,60799.66406,61452.23047,32615846901,0,0
11/5/2021,61460.07813,62541.46875,60844.60938,61125.67578,30605102446,0,0
11/6/2021,61068.875,61590.68359,60163.78125,61527.48047,29094934221,0,0
11/7/2021,61554.92188,63326.98828,61432.48828,63326.98828,24726754302,0,0
11/8/2021,63344.06641,67673.74219,63344.06641,67566.82813,41125608330,0,0
11/9/2021,67549.73438,68530.33594,66382.0625,66971.82813,42357991721,0,0
11/10/2021,66953.33594,68789.625,63208.11328,64995.23047,48730828378,0,0
11/11/2021,64978.89063,65579.01563,64180.48828,64949.96094,35880633236,0,0
11/12/2021,64863.98047,65460.81641,62333.91406,64155.94141,36084893887,0,0
11/13/2021,64158.12109,64915.67578,63303.73438,64469.52734,30474228777,0,0
11/14/2021,64455.37109,65495.17969,63647.80859,65466.83984,25122092191,0,0
11/15/2021,65521.28906,66281.57031,63548.14453,63557.87109,30558763548,0,0
11/16/2021,63721.19531,63721.19531,59016.33594,60161.24609,46844335592,0,0
11/17/2021,60139.62109,60823.60938,58515.41016,60368.01172,39178392930,0,0
11/18/2021,60360.13672,60948.5,56550.79297,56942.13672,41388338699,0,0
11/19/2021,56896.12891,58351.11328,55705.17969,58119.57813,38702407772,0,0
11/20/2021,58115.08203,59859.87891,57469.72656,59697.19531,30624264863,0,0
11/21/2021,59730.50781,60004.42578,58618.92969,58730.47656,26123447605,0,0
11/22/2021,58706.84766,59266.35938,55679.83984,56289.28906,35036121783,0,0
11/23/2021,56304.55469,57875.51563,55632.76172,57569.07422,37485803899,0,0
11/24/2021,57565.85156,57803.06641,55964.22266,56280.42578,36635566789,0,0
11/25/2021,57165.41797,59367.96875,57146.68359,57274.67969,34284016248,0,0
11/26/2021,58960.28516,59183.48047,53569.76563,53569.76563,41810748221,0,0
11/27/2021,53736.42969,55329.25781,53668.35547,54815.07813,30560857714,0,0
11/28/2021,54813.02344,57393.84375,53576.73438,57248.45703,28116886357,0,0
11/29/2021,57291.90625,58872.87891,56792.52734,57806.56641,32370840356,0,0
11/30/2021,57830.11328,59113.40234,56057.28125,57005.42578,36708594618,0,0
12/1/2021,56907.96484,59041.68359,56553.08203,57229.82813,36858195307,0,0
12/2/2021,57217.37109,57349.23438,55895.13281,56477.81641,32379968686,0,0
12/3/2021,56509.16406,57482.16797,52496.58594,53598.24609,39789134215,0,0
12/4/2021,53727.87891,53904.67969,42874.61719,49200.70313,61385677469,0,0
12/5/2021,49201.51953,49768.14844,47857.49609,49368.84766,37198201161,0,0
12/6/2021,49413.48047,50929.51953,47281.03516,50582.625,37707308001,0,0
12/7/2021,50581.82813,51934.78125,50175.80859,50700.08594,33676814852,0,0
12/8/2021,50667.64844,51171.375,48765.98828,50504.79688,28479699446,0,0
12/9/2021,50450.08203,50797.16406,47358.35156,47672.12109,29603577251,0,0
12/10/2021,47642.14453,50015.25391,47023.69922,47243.30469,30966005122,0,0
12/11/2021,47264.63281,49458.21094,46942.34766,49362.50781,25775869261,0,0
12/12/2021,49354.85547,50724.86719,48725.85156,50098.33594,21939223599,0,0
12/13/2021,50114.74219,50205,45894.84766,46737.48047,32166727776,0,0
12/14/2021,46709.82422,48431.39844,46424.49609,46612.63281,34638619079,0,0
12/15/2021,48379.75391,49473.95703,46671.96484,48896.72266,36541828520,0,0
12/16/2021,48900.46484,49425.57422,47529.87891,47665.42578,27268150947,0,0
12/17/2021,47653.73047,48004.89453,45618.21484,46202.14453,32902725329,0,0
12/18/2021,46219.25391,47313.82813,45598.44141,46848.77734,26098292690,0,0
12/19/2021,46853.86719,48089.66406,46502.95313,46707.01563,25154053861,0,0
12/20/2021,46707.0625,47401.71875,45579.80859,46880.27734,30961902129,0,0
12/21/2021,46886.07813,49300.91797,46698.77344,48936.61328,27055803928,0,0
12/22/2021,48937.09766,49544.79688,48450.94141,48628.51172,24447979559,0,0
12/23/2021,48626.34375,51332.33984,48065.83594,50784.53906,28223878108,0,0
12/24/2021,50806.05078,51814.02734,50514.49609,50822.19531,24367912228,0,0
12/25/2021,50854.91797,51176.59766,50236.70703,50429.85938,19030650914,0,0
12/26/2021,50428.69141,51196.37891,49623.10547,50809.51563,20964372926,0,0
12/27/2021,50802.60938,51956.32813,50499.46875,50640.41797,24324345758,0,0
12/28/2021,50679.85938,50679.85938,47414.21094,47588.85547,33430376883,0,0
12/29/2021,47623.87109,48119.74219,46201.49609,46444.71094,30049226299,0,0
12/30/2021,46490.60547,47879.96484,46060.3125,47178.125,26686491018,0,0
12/31/2021,47169.37109,48472.52734,45819.95313,46306.44531,36974172400,0,0
1/1/2022,46311.74609,47827.3125,46288.48438,47686.8125,24582667004,0,0
1/2/2022,47680.92578,47881.40625,46856.9375,47345.21875,27951569547,0,0
1/3/2022,47343.54297,47510.72656,45835.96484,46458.11719,33071628362,0,0
